sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what they're doing there, but it seems like a good place for them to be.	 I'm not sure what they're doing there, but it seems like a good place for them to be.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He looks at me and says: 'I don't know what you're talking about.' I'm not sure if it's because of his age or whether he was born with any special features that would make him stand out as an adult.	 He looks at me and says: 'I don't know what you're talking about.' I'm not sure if it's because of his age or whether he was born with any special features that would make him stand out as an adult.
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their usual routine of sitting down and watching TV while eating breakfast together until dinner came around 3:30pm (GMT-7). I	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their usual routine of sitting down and watching TV while eating breakfast together until dinner came around 3:30pm (GMT-7). I
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help. He looks down at Elsa's shoulders in disbelief that they are so far away from each other—she has no idea how long it will take them before their eyes meet again…and then suddenly Anna can feel herself turning into something more than just ice-cold snowflakes or cold watermelons (or maybe even frostbite). She knows exactly where this whole thing was headed: there must have been someone else who could've seen through those icy lips! It seems like every single day since we last met had gone by completely different ways until now...the only person standing between us	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help. He looks down at Elsa's shoulders in disbelief that they are so far away from each other—she has no idea how long it will take them before their eyes meet again…and then suddenly Anna can feel herself turning into something more than just ice-cold snowflakes or cold watermelons (or maybe even frostbite). She knows exactly where this whole thing was headed: there must have been someone else who could've seen through those icy lips! It seems like every single day since we last met had gone by completely different ways until now...the only person standing between us
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, her voice cracking with emotion as the two of them look at each other for a moment before turning and heading back to where they came from.You're not doing anything wrong! I'm just saying that	 I don't know what's going on here, she says, her voice cracking with emotion as the two of them look at each other for a moment before turning and heading back to where they came from.You're not doing anything wrong! I'm just saying that
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be having trouble getting her hair back in place after all this time. I don't know what you're talking about, Harry said with an exasperated look on his face as he looked over at Hermione who was still	 I'm not sure if it's just me or something else, but she seems to be having trouble getting her hair back in place after all this time. I don't know what you're talking about, Harry said with an exasperated look on his face as he looked over at Hermione who was still
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as they walked away from their apartment complex where he had been staying	 I'm not sure how long it will take to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as they walked away from their apartment complex where he had been staying
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that, he said of his wife's condition.I'm not sure if we'll ever see her again because there are so many other people who have been with me for over 20 years but they've never seen anything like this before.It was really hard when you were	 I don't know what to do about that, he said of his wife's condition.I'm not sure if we'll ever see her again because there are so many other people who have been with me for over 20 years but they've never seen anything like this before.It was really hard when you were
She seems not to have noticed either the water or what her children are doing.	 I don't know if she's aware of it, but I've never seen anything like this in my life.	 I don't know if she's aware of it, but I've never seen anything like this in my life.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me like that because she'd probably get hurt or something. What do you mean by 'damaged'? he asked in an exasperated tone as we walked away from his office with nothing but our hands clasped around each other (I'm not sure how many times this has happened since then). You're just saying	 I don't know if it's a good idea for her to look at me like that because she'd probably get hurt or something. What do you mean by 'damaged'? he asked in an exasperated tone as we walked away from his office with nothing but our hands clasped around each other (I'm not sure how many times this has happened since then). You're just saying
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff, he told The Daily Caller News Foundation via email on Monday night.I think it would be nice if we could get some more information out there about what they're doing at this point because I don't know how many people are still alive who were killed or injured by these things but maybe one person will come forward with their own story as well?	 It's not like you have to go through all that stuff, he told The Daily Caller News Foundation via email on Monday night.I think it would be nice if we could get some more information out there about what they're doing at this point because I don't know how many people are still alive who were killed or injured by these things but maybe one person will come forward with their own story as well?
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 It's not the first time that I've seen this kind of outfit in my life; it has been worn by many other women who have gone through similar experiences with their own body image issues and are now looking for an alternative way out.	 It's not the first time that I've seen this kind of outfit in my life; it has been worn by many other women who have gone through similar experiences with their own body image issues and are now looking for an alternative way out.
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house at this time but that his mother was there when they went to pick him up from school. I don't know how she got out of her car or where it happened because I'm not sure if anyone else saw them either, said one witness who spoke with The Associated Press by e-mail Monday night after being told police were looking into whether	 He says he has no idea what's going on in the house at this time but that his mother was there when they went to pick him up from school. I don't know how she got out of her car or where it happened because I'm not sure if anyone else saw them either, said one witness who spoke with The Associated Press by e-mail Monday night after being told police were looking into whether
Her daughter is wearing a short skirt and T-shirt.	 She says she's not sure what to make of it, but that her mother has been in the hospital for two weeks with an infection so severe he can't even walk or talk on his own (he was hospitalized last week). I've never seen anything like this before. 	 She says she's not sure what to make of it, but that her mother has been in the hospital for two weeks with an infection so severe he can't even walk or talk on his own (he was hospitalized last week). I've never seen anything like this before. 
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 The first one is a small piece of plastic that you can use to hold your water bottle in place, but it's not really necessary for this tutorial because we'll be using an old-fashioned wooden spoon instead.) The second cup comes out from underneath	 The first one is a small piece of plastic that you can use to hold your water bottle in place, but it's not really necessary for this tutorial because we'll be using an old-fashioned wooden spoon instead.) The second cup comes out from underneath
